epoch,step,train_loss_epoch,train_loss_step,val_loss
0,0,,0.0,
0,1,,0.0,
0,2,,0.0,
0,3,,0.0,
0,4,,0.0,
0,5,,0.0,
0,6,,0.0,
0,7,,0.0,
0,8,,0.0,
0,9,,0.0,
0,10,,0.0,
0,11,,0.0,
0,12,,0.0,
0,13,,0.0,
0,14,,0.0,
0,15,,0.0,
0,16,,0.0,
0,17,,0.0,
0,18,,0.0,
0,19,,0.0,
0,20,,0.0,
0,21,,0.0,
0,22,,0.0,
0,23,,0.0,
0,24,,0.0,
0,25,,0.0,
0,26,,0.0,
0,27,,0.0,
0,28,,0.0,
0,28,,,0.0
0,28,0.0,,
1,29,,0.0,
1,30,,0.0,
1,31,,0.0,
1,32,,0.0,
1,33,,0.0,
1,34,,0.0,
1,35,,0.0,
1,36,,0.0,
1,37,,0.0,
1,38,,0.0,
1,39,,0.0,
1,40,,0.0,
1,41,,0.0,
1,42,,0.0,
1,43,,0.0,
1,44,,0.0,
1,45,,0.0,
1,46,,0.0,
1,47,,0.0,
1,48,,0.0,
1,49,,0.0,
1,50,,0.0,
1,51,,0.0,
1,52,,0.0,
1,53,,0.0,
1,54,,0.0,
1,55,,0.0,
1,56,,0.0,
1,57,,0.0,
1,57,,,0.0
1,57,0.0,,
2,58,,0.0,
2,59,,0.0,
2,60,,0.0,
2,61,,0.0,
2,62,,0.0,
2,63,,0.0,
2,64,,0.0,
2,65,,0.0,
2,66,,0.0,
2,67,,0.0,
2,68,,0.0,
2,69,,0.0,
2,70,,0.0,
2,71,,0.0,
2,72,,0.0,
2,73,,0.0,
2,74,,0.0,
2,75,,0.0,
2,76,,0.0,
2,77,,0.0,
2,78,,0.0,
2,79,,0.0,
2,80,,0.0,
2,81,,0.0,
2,82,,0.0,
2,83,,0.0,
2,84,,0.0,
2,85,,0.0,
2,86,,0.0,
2,86,,,0.0
2,86,0.0,,
3,87,,0.0,
3,88,,0.0,
3,89,,0.0,
3,90,,0.0,
3,91,,0.0,
3,92,,0.0,
3,93,,0.0,
3,94,,0.0,
3,95,,0.0,
3,96,,0.0,
3,97,,0.0,
3,98,,0.0,
3,99,,0.0,
3,100,,0.0,
3,101,,0.0,
3,102,,0.0,
3,103,,0.0,
3,104,,0.0,
3,105,,0.0,
3,106,,0.0,
3,107,,0.0,
3,108,,0.0,
3,109,,0.0,
3,110,,0.0,
3,111,,0.0,
3,112,,0.0,
3,113,,0.0,
3,114,,0.0,
